Datetime,Area ID,Area Boss,Remain Count,Capture Type,Capture Status,Sangvis ID,Sangvis Rank,Sangvis Name
2022-12-19 16:27:48,21,,87,PULSE,O,2005,★★,Tarantula
2022-12-19 16:27:56,21,,86,PULSE,O,3004,★,Jaeger
2022-12-20 15:28:15,30,Destroyer - Dashing Reindeer,99,PULSE,O,2016,★★,Gingerbread Guard
2022-12-20 15:28:25,30,Destroyer - Dashing Reindeer,99,PULSE,X,2016,★★,Gingerbread Guard
2022-12-20 15:28:33,30,Destroyer - Dashing Reindeer,98,PULSE,O,2004,★★,Nemeum
2022-12-20 15:28:42,30,Destroyer - Dashing Reindeer,97,PULSE,O,3005,★,Striker
2022-12-20 15:28:50,30,Destroyer - Dashing Reindeer,96,PULSE,O,3006,★,Dinergate
2022-12-20 15:28:58,30,Destroyer - Dashing Reindeer,95,PULSE,O,3001,★,Ripper
2022-12-20 15:29:06,30,Destroyer - Dashing Reindeer,94,PULSE,O,2005,★★,Tarantula
2022-12-20 15:29:14,30,Destroyer - Dashing Reindeer,93,PULSE,O,3008,★,Prowler
2022-12-20 15:29:22,30,Destroyer - Dashing Reindeer,92,PULSE,O,3005,★,Striker
2022-12-21 16:49:10,30,Destroyer - Dashing Reindeer,91,PULSE,O,3002,★,Vespid
2022-12-22 13:24:35,30,Destroyer - Dashing Reindeer,90,PULSE,O,3007,★,Scout
2022-12-22 13:24:44,30,Destroyer - Dashing Reindeer,89,PULSE,O,3002,★,Vespid
2022-12-23 00:44:33,30,Destroyer - Dashing Reindeer,88,PULSE,O,3006,★,Dinergate
2022-12-23 15:28:20,30,Destroyer - Dashing Reindeer,87,PULSE,O,3007,★,Scout
2022-12-23 15:28:29,30,Destroyer - Dashing Reindeer,87,PULSE,X,2004,★★,Nemeum
2022-12-24 10:07:58,30,Destroyer - Dashing Reindeer,86,PULSE,O,3008,★,Prowler
2022-12-27 16:27:55,30,Destroyer - Dashing Reindeer,85,PULSE,O,3004,★,Jaeger
2022-12-27 18:14:53,30,Destroyer - Dashing Reindeer,84,PULSE,O,3007,★,Scout
2022-12-27 18:15:04,30,Destroyer - Dashing Reindeer,83,PULSE,O,3006,★,Dinergate
2022-12-27 18:15:13,30,Destroyer - Dashing Reindeer,82,PULSE,O,3004,★,Jaeger
2022-12-27 18:15:23,30,Destroyer - Dashing Reindeer,81,PULSE,O,3001,★,Ripper
2022-12-27 18:15:33,30,Destroyer - Dashing Reindeer,80,PULSE,O,3004,★,Jaeger
2022-12-29 16:31:29,30,Destroyer - Dashing Reindeer,79,PULSE,O,2004,★★,Nemeum
2022-12-29 16:31:39,30,Destroyer - Dashing Reindeer,78,PULSE,O,3006,★,Dinergate
2022-12-29 16:31:47,30,Destroyer - Dashing Reindeer,77,PULSE,O,3002,★,Vespid
2022-12-29 16:31:56,30,Destroyer - Dashing Reindeer,76,PULSE,O,3004,★,Jaeger
2023-01-01 18:54:04,30,Destroyer - Dashing Reindeer,75,PULSE,O,3002,★,Vespid
2023-01-01 18:54:13,30,Destroyer - Dashing Reindeer,74,PULSE,O,3008,★,Prowler
2023-01-01 18:54:21,30,Destroyer - Dashing Reindeer,73,PULSE,O,3007,★,Scout
2023-01-01 18:54:28,30,Destroyer - Dashing Reindeer,72,PULSE,O,3002,★,Vespid
2023-01-01 18:54:38,30,Destroyer - Dashing Reindeer,71,PULSE,O,3010,★,Goliath Factory
2023-01-04 21:09:44,30,Destroyer - Dashing Reindeer,70,PULSE,O,2004,★★,Nemeum
2023-01-04 21:09:53,30,Destroyer - Dashing Reindeer,70,PULSE,X,2005,★★,Tarantula
2023-01-04 21:10:02,30,Destroyer - Dashing Reindeer,69,PULSE,O,3004,★,Jaeger
