event_id,datetime,prize_id,prize
542,2023-02-03 10:00:46,816,Enhancement Capsule*2
542,2023-02-03 10:00:46,840,Battery*30
542,2023-02-03 10:00:46,824,Quick Production*1
542,2023-02-03 10:00:46,803,Manpower*300
542,2023-02-03 10:00:46,812,Parts*300
542,2023-02-03 10:00:46,807,Rations*100
542,2023-02-03 10:00:46,816,Enhancement Capsule*2
542,2023-02-03 10:00:46,807,Rations*100
542,2023-02-03 10:00:46,811,Parts*200
542,2023-02-03 10:00:46,827,Basic Training Data*20
542,2023-02-03 10:00:47,810,Parts*100
542,2023-02-03 10:00:47,811,Parts*200
542,2023-02-03 10:00:47,811,Parts*200
542,2023-02-03 10:00:47,920,Pure Sample
542,2023-02-03 10:00:47,806,Ammo*300
542,2023-02-03 10:00:47,807,Rations*100
542,2023-02-03 10:00:47,811,Parts*200
542,2023-02-03 10:00:47,829,Basic Training Data*40
542,2023-02-03 10:00:47,805,Ammo*200
542,2023-02-03 10:00:47,840,Battery*30
542,2023-02-03 10:00:48,840,Battery*30
542,2023-02-03 10:00:48,831,Intermediate Training Data*30
542,2023-02-03 10:00:48,807,Rations*100
542,2023-02-03 10:00:48,808,Rations*200
542,2023-02-03 10:00:48,921,Quick Analysis Contract
542,2023-02-03 10:00:48,804,Ammo*100
542,2023-02-03 10:00:48,808,Rations*200
542,2023-02-03 10:00:48,822,T-Doll Contract*1
542,2023-02-03 10:00:48,833,Advanced Training Data*20
542,2023-02-03 10:00:48,919,Original Sample
542,2023-02-03 10:00:50,816,Enhancement Capsule*2
542,2023-02-03 10:00:50,802,Manpower*200
542,2023-02-03 10:00:50,830,Intermediate Training Data*20
542,2023-02-03 10:00:50,825,Quick Repair*1
542,2023-02-03 10:00:50,801,Manpower*100
542,2023-02-03 10:00:50,804,Ammo*100
542,2023-02-03 10:00:50,839,Battery*20
542,2023-02-03 10:00:50,839,Battery*20
542,2023-02-03 10:00:50,920,Pure Sample
542,2023-02-03 10:00:50,839,Battery*20
542,2023-02-03 10:00:51,801,Manpower*100
542,2023-02-03 10:00:51,837,Calibration Ticket*20
542,2023-02-03 10:00:51,809,Rations*300
542,2023-02-03 10:00:51,805,Ammo*200
542,2023-02-03 10:00:51,804,Ammo*100
542,2023-02-03 10:00:51,920,Pure Sample
542,2023-02-03 10:00:51,810,Parts*100
542,2023-02-03 10:00:51,880,Memory Fragment*30
542,2023-02-03 10:00:51,820,Dummy Core*2
542,2023-02-03 10:00:51,823,Equipment Contract*1
542,2023-02-03 10:00:52,830,Intermediate Training Data*20
542,2023-02-03 10:00:52,824,Quick Production*1
542,2023-02-03 10:00:52,807,Rations*100
542,2023-02-03 10:00:52,807,Rations*100
542,2023-02-03 10:00:52,804,Ammo*100
542,2023-02-03 10:00:52,824,Quick Production*1
542,2023-02-03 10:00:52,817,Enhancement Capsule*3
542,2023-02-03 10:00:52,802,Manpower*200
542,2023-02-03 10:00:52,802,Manpower*200
542,2023-02-03 10:00:52,817,Enhancement Capsule*3
542,2023-02-03 10:00:54,804,Ammo*100
542,2023-02-03 10:00:54,836,Calibration Ticket*10
542,2023-02-03 10:00:54,807,Rations*100
542,2023-02-03 10:00:54,40154,prize-10040154
542,2023-02-03 10:00:54,827,Basic Training Data*20
542,2023-02-03 10:00:54,825,Quick Repair*1
542,2023-02-03 10:00:54,807,Rations*100
542,2023-02-03 10:00:54,817,Enhancement Capsule*3
542,2023-02-03 10:00:54,833,Advanced Training Data*20
542,2023-02-03 10:00:54,839,Battery*20
542,2023-02-03 10:00:55,824,Quick Production*1
542,2023-02-03 10:00:55,826,Quick Training*1
542,2023-02-03 10:00:55,920,Pure Sample
542,2023-02-03 10:00:55,813,Token*2
542,2023-02-03 10:00:55,807,Rations*100
542,2023-02-03 10:00:55,801,Manpower*100
542,2023-02-03 10:00:55,814,Token*3
542,2023-02-03 10:00:55,816,Enhancement Capsule*2
542,2023-02-03 10:00:55,804,Ammo*100
542,2023-02-03 10:00:55,807,Rations*100
542,2023-02-03 10:00:56,804,Ammo*100
542,2023-02-03 10:00:56,839,Battery*20
542,2023-02-03 10:00:56,802,Manpower*200
542,2023-02-03 10:00:56,808,Rations*200
542,2023-02-03 10:00:56,807,Rations*100
542,2023-02-03 10:00:56,828,Basic Training Data*30
542,2023-02-03 10:00:56,804,Ammo*100
542,2023-02-03 10:00:56,819,Dummy Core*1
542,2023-02-03 10:00:56,804,Ammo*100
542,2023-02-03 10:00:56,831,Intermediate Training Data*30
542,2023-02-03 10:00:57,820,Dummy Core*2
542,2023-02-03 10:00:57,801,Manpower*100
542,2023-02-03 10:00:57,921,Quick Analysis Contract
542,2023-02-03 10:00:57,919,Original Sample
542,2023-02-03 10:00:57,816,Enhancement Capsule*2
542,2023-02-03 10:00:57,801,Manpower*100
542,2023-02-03 10:00:57,827,Basic Training Data*20
542,2023-02-03 10:00:57,839,Battery*20
542,2023-02-03 10:00:57,840,Battery*30
542,2023-02-03 10:00:57,805,Ammo*200
